id,block,kind,pins,value,unit,value_status,connection_status,source_ids,source_locator,rationale,historical_status
J1,preamp,port,"{""tip"": ""IN"", ""sleeve"": ""0""}","""guitar input""",,Assumed,Assumed,ENG36,engineering completion,One high-sensitivity playing input; original multi-jack contact map unresolved.,Unresolved
RIN,preamp,resistor,"{""a"": ""IN"", ""b"": ""0""}",1000000.0,ohm,Sourced,Assumed,L70,input grid-leak network,Stock nominal 1M; single-input connection is candidate simplification.,Unresolved
RSTOP,preamp,resistor,"{""a"": ""IN"", ""b"": ""G1""}",33000,ohm,Assumed,Assumed,ENG36,single-input design choice,Explicit candidate choice; original specimen unverified.,Unresolved
V1A,preamp,triode,"{""plate"": ""P1"", ""grid"": ""G1"", ""cathode"": ""K1"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,Voltage-gain stage 1; valve allocation assumed; nonlinear device equations and calibrated parameters unresolved.,Unresolved
RP1,preamp,resistor,"{""a"": ""BINPUT"", ""b"": ""P1""}",100000,ohm,Sourced,Assumed,P78,gain stage 1 plate load,Explicit candidate choice; original specimen unverified.,Unresolved
RK1,preamp,resistor,"{""a"": ""K1"", ""b"": ""0""}",2700,ohm,Sourced,Assumed,P78,P78 gain-stage cathode network,Explicit candidate choice; original specimen unverified.,Unresolved
CK1,preamp,capacitor,"{""a"": ""K1"", ""b"": ""0""}",6.8e-07,F,Sourced,Assumed,P78,gain stage 1 cathode bypass,Explicit candidate choice; original specimen unverified.,Unresolved
CC1,preamp,capacitor,"{""a"": ""P1"", ""b"": ""C1""}",2.2e-08,F,Assumed,Assumed,ENG36,gain stage 1 output coupling,Explicit candidate choice; original specimen unverified.,Unresolved
V1B,preamp,triode,"{""plate"": ""P2"", ""grid"": ""G2"", ""cathode"": ""K2"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,Voltage-gain stage 2; valve allocation assumed; nonlinear device equations and calibrated parameters unresolved.,Unresolved
RP2,preamp,resistor,"{""a"": ""BEXTRA"", ""b"": ""P2""}",100000,ohm,Assumed,Assumed,ENG36,gain stage 2 plate load,Explicit candidate choice; original specimen unverified.,Unresolved
RK2,preamp,resistor,"{""a"": ""K2"", ""b"": ""0""}",10000,ohm,Assumed,Assumed,ENG36,ENG36 gain-stage 2 cathode hypothesis,Explicit candidate choice; original specimen unverified.,Unresolved
CC2,preamp,capacitor,"{""a"": ""P2"", ""b"": ""C2""}",2.2e-08,F,Assumed,Assumed,ENG36,gain stage 2 output coupling,Explicit candidate choice; original specimen unverified.,Unresolved
VX_A,preamp,triode,"{""plate"": ""P3"", ""grid"": ""G3"", ""cathode"": ""K3"", ""heater_a"": ""H1"", ""heater_b"": ""H2""}","""ECC83""",,Assumed,Assumed,ENG36;L70,engineering completion,Voltage-gain stage 3; valve allocation assumed; nonlinear device equations and calibrated parameters unresolved.,Unresolved
